species,target_pos,n_train,n_train_pos,n_test_pos,n_test,model,accuracy,f1,average_precision,auroc
Apalis cinerea,25,100,25,57,9542,autogluon,0.9927688115699015,0.43902439024390244,0.47214796507693785,0.9900073060880985
Apalis cinerea,100,400,100,57,9542,linear_probe,0.9696080486271222,0.271356783919598,0.56841803431504,0.9926254751269317
Apalis cinerea,100,400,100,57,9542,autogluon,0.9697128484594425,0.27204030226700254,0.5799920953645967,0.9925477901395555
Apalis jacksoni,5,20,5,7,9542,linear_probe,0.9941312093900649,0.2,0.44345238095238093,0.9991160386545809
Apalis jacksoni,5,20,5,7,9542,autogluon,0.9991616013414378,0.3333333333333333,0.43704557990272275,0.998838864334407
Apaloderma narina,5,20,5,6,9542,linear_probe,0.9720184447704884,0.043010752688172046,0.08185716355598557,0.9937430089485458
Apaloderma narina,5,20,5,6,9542,autogluon,0.9986376021798365,0.0,0.03067653393962557,0.9833612975391498
Arachnothera longirostra,5,20,5,4,9542,linear_probe,0.9853280234751625,0.05405405405405406,0.36858974358974356,0.9994757810861816
Arachnothera longirostra,5,20,5,4,9542,autogluon,0.9974848040243136,0.25,0.2582001332001332,0.9992923044663452
Arremon brunneinucha,5,20,5,1,9542,linear_probe,0.9927688115699015,0.028169014084507043,0.5,0.9998951891835237
Arremon brunneinucha,5,20,5,1,9542,autogluon,0.9983232026828757,0.1111111111111111,0.3333333333333333,0.9997903783670474
Arremon flavirostris,5,20,5,16,9542,linear_probe,0.9510584783064348,0.06412825651302605,0.6190410060117721,0.9981432395549024
Arremon flavirostris,5,20,5,16,9542,autogluon,0.9987424020121568,0.625,0.6174110425118489,0.9990289733361327
Arremon flavirostris,25,100,25,16,9542,linear_probe,0.9903584154265354,0.25806451612903225,0.8941394644979204,0.9995997795507033
Arremon flavirostris,25,100,25,16,9542,autogluon,0.9974848040243136,0.5555555555555556,0.8524254346914841,0.9989502414444678
Athene noctua,5,20,5,13,9542,linear_probe,0.9852232236428422,0.14545454545454545,0.7090807544104245,0.9979576515414483
Athene noctua,5,20,5,13,9542,autogluon,0.9986376021798365,0.5806451612903226,0.6360806031977617,0.9944097774405257
Athene noctua,25,100,25,13,9542,linear_probe,0.9708656466149654,0.08552631578947369,0.7875365969141982,0.9976186055522818
Athene noctua,25,100,25,13,9542,autogluon,0.9903584154265354,0.17857142857142858,0.646235634426213,0.9958386141091566
Atlapetes schistaceus,5,20,5,45,9542,linear_probe,0.9960176063718298,0.6935483870967742,0.7869569696367323,0.9987458027681255
Atlapetes schistaceus,5,20,5,45,9542,autogluon,0.9966464053657514,0.5294117647058824,0.6905508816840793,0.9963239853520994
Atlapetes schistaceus,25,100,25,45,9542,linear_probe,0.9918256130790191,0.5301204819277109,0.8379688319456098,0.9990429726346332
Atlapetes schistaceus,25,100,25,45,9542,autogluon,0.9971704045273527,0.7476635514018691,0.8167261839398632,0.9990265931931721
Atlapetes schistaceus,100,400,100,45,9542,linear_probe,0.9917208132466988,0.5325443786982249,0.8626209478263783,0.9992839844161314
Atlapetes schistaceus,100,400,100,45,9542,autogluon,0.9965416055334312,0.7130434782608696,0.8635668464442082,0.9992535654534181
Automolus leucophthalmus,5,20,5,6,9542,linear_probe,0.9712848459442465,0.035211267605633804,0.25328332690450245,0.9832913870246085
