species,target_pos,seed,n_train,n_train_pos,n_test_pos,n_test,model,accuracy,f1,precision,recall,average_precision,auroc
Erithacus rubecula,2500,0,6284,1571,391,9542,autogluon,0.9471808845105848,0.5764705882352941,0.4292866082603254,0.8772378516624041,0.6658466756123897,0.9738755089726473
Erithacus rubecula,5000,0,6284,1571,391,9542,linear_probe,0.928526514357577,0.5079365079365079,0.35376884422110555,0.9002557544757033,0.7072837475103536,0.9748499248611182
Erithacus rubecula,5000,0,6284,1571,391,9542,autogluon,0.9471808845105848,0.5764705882352941,0.4292866082603254,0.8772378516624041,0.6658466756123897,0.9738755089726473
Luscinia megarhynchos,1000,0,4000,1000,382,9542,linear_probe,0.9508488786417941,0.6001705029838023,0.4450063211125158,0.9214659685863874,0.7833607921943991,0.9857907130935778
Luscinia megarhynchos,1000,0,4000,1000,382,9542,autogluon,0.958604066233494,0.6386093321134492,0.4908579465541491,0.9136125654450262,0.802460689293394,0.9868575527561215
Luscinia megarhynchos,1000,1,4000,1000,382,9542,linear_probe,0.9422552923915322,0.5664830841856806,0.4049493813273341,0.9424083769633508,0.7741360528497864,0.9859747593680698
Luscinia megarhynchos,1000,1,4000,1000,382,9542,autogluon,0.958184866904213,0.6369426751592356,0.4881450488145049,0.9162303664921466,0.8032536814426703,0.9878952422323327
Luscinia megarhynchos,1000,2,4000,1000,382,9542,linear_probe,0.9481240830014672,0.5878434637801832,0.43101343101343104,0.9240837696335078,0.7796194201637827,0.9848236127940738
Luscinia megarhynchos,1000,2,4000,1000,382,9542,autogluon,0.9565080695870887,0.6210045662100456,0.47685834502103785,0.8900523560209425,0.7591750549611553,0.9839702553784953
Luscinia megarhynchos,2500,0,6048,1512,382,9542,linear_probe,0.9492768811569902,0.5939597315436241,0.43703703703703706,0.9267015706806283,0.7921805312133315,0.9859893344612359
Luscinia megarhynchos,2500,0,6048,1512,382,9542,autogluon,0.9619576608677426,0.6526315789473685,0.5143288084464555,0.8926701570680629,0.7812518601825987,0.9868392624431286
Luscinia megarhynchos,5000,0,6048,1512,382,9542,linear_probe,0.9492768811569902,0.5939597315436241,0.43703703703703706,0.9267015706806283,0.7921805312133315,0.9859893344612359
Luscinia megarhynchos,5000,0,6048,1512,382,9542,autogluon,0.9619576608677426,0.6526315789473685,0.5143288084464555,0.8926701570680629,0.7812518601825987,0.9868392624431286
