species,average_precision_autogluon,average_precision_linear_probe,auroc_autogluon,auroc_linear_probe,delta_ap
Hemicircus canente,0.06867668093571033,0.08619966303415263,0.9729070499370541,0.9880297943768359,-0.017522982098442302
Fulica atra,0.5505292088087749,0.5695985942278476,0.993409067063458,0.9839280434181285,-0.01906938541907277
Chrysophlegma miniaceum,0.06579899432705318,0.08551653622010053,0.7772392647235217,0.9204674943025069,-0.01971754189304735
Thamnophilus doliatus,0.7552954816631984,0.776050327538423,0.9618135711787338,0.9955578873732074,-0.02075484587522458
Mackenziaena severa,0.06627988580723897,0.08795479759177427,0.9884240012270237,0.9913623997998015,-0.021674911784535303
Dicaeum trigonostigma,0.08305242564291418,0.10503537923987899,0.798057006448686,0.850756783406683,-0.02198295359696481
Irena puella,0.36801726913127397,0.3903700074654721,0.9860155266470835,0.9913239613932019,-0.022352738334198152
Malacopteron magnum,0.24630002715078536,0.26889298363230907,0.8718991213918741,0.9130053858181729,-0.022592956481523707
Lanius nubicus,0.00891692040017399,0.03263358778625954,0.9839360587002096,0.9922431865828092,-0.023716667386085553
Cisticola brunnescens,0.9428571428571428,0.9666666666666666,0.999958058089546,0.999979029044773,-0.023809523809523725
Antrostomus sericocaudatus,0.9428571428571428,0.9666666666666666,0.999958058089546,0.999979029044773,-0.023809523809523725
Glaucidium brasilianum,0.3680601193605692,0.39206517479338737,0.9845138160195872,0.9917191325638335,-0.024005055432818168
Copsychus malabaricus,0.1183681375753573,0.1429640607746393,0.9635252504027456,0.9749947467955453,-0.024595923199282
Cinnyris jugularis,0.25029223358994446,0.2763232821768532,0.9785608933839023,0.9886241045090602,-0.026031048586908745
Pyriglena leucoptera,0.15474901929637233,0.18181970929336874,0.9789605614973262,0.9844299083269671,-0.02707068999699641
Laniarius atroflavus,0.7419843334472145,0.7694461007912986,0.984645422061841,0.9928014222033539,-0.02746176734408412
Tauraco bannermani,0.03181951793062904,0.06013071895424836,0.9817590942446797,0.9930810357479819,-0.028311201023619323
Streptopelia turtur,0.10713286696746319,0.1356698577258483,0.9512419955910141,0.9713415914339701,-0.028536990758385117
